Date;Cumulative Cases
Feb 18;1
Feb 21;44
Feb 22;169
Feb 23;309
Feb 24;456
Feb 25;501
Feb 26;597
Feb 27;731
Feb 28;840
Feb 29;1.557
Mar 1;2.113
Mar 2;2.418
Mar 3;2.698
Mar 4;2.992
Mar 5;3.452
Mar 6;3.917
Mar 7;4.297
Mar 8;4.482
Mar 9;4.617
Mar 10;4.710
Mar 11;4.723
Mar 12;4.759
Mar 13;4.780
Mar 14;5.013
Mar 15;5.006
Mar 16;5.011
Mar 17;5.016
Mar 18;5.016
Mar 19;5.028
Mar 20;5.029
Mar 21;5.037
Mar 22;5.051
Mar 23;5.054
Mar 24;5.066
Mar 25;5.080
Mar 26;5.079
Mar 27;5.079
Mar 28;5.089
Mar 29;5.089
Mar 30;5.161
Mar 31;5.162
Apr 1;5.162
Apr 2;5.175
Apr 3;5.176
Apr 4;5.178
Apr 5;5.208
Apr 6;5.208
Apr 7;5.209
Apr 8;5.209
Apr 9;5.210
Apr 10;5.210
Apr 11;5.210
Apr 12;5.210
Apr 13;5.210
Apr 14;5.211
Apr 15;5.211
Apr 16;5.211
