Number of days;Confirmed (incl. deaths);Deaths
1;1;0
2;1;0
3;1;0
4;1;0
5;2;0
6;2;0
7;3;0
8;4;0
9;4;0
10;4;0
11;7;0
12;11;0
13;12;0
14;15;0
15;15;0
16;16;0
17;19;0
18;23;0
19;24;0
20;24;0
21;25;0
22;27;0
23;28;0
24;28;0
25;28;0
26;28;0
27;28;0
28;29;0
29;30;0
30;31;0
31;51;0
32;104;1
33;204;1
34;433;2
35;602;5
36;833;7
37;977;10
38;1.261;12
39;1.766;13
40;2.337;13
41;3.150;17
42;3.736;18
43;4.212;22
44;4.812;28
45;5.328;32
46;5.766;35
47;6.284;42
48;6.767;44
49;7.134;50
50;7.382;51
51;7.513;54
52;7.755;60
53;7.869;66
54;7.979;67
55;8.086;72
56;8.162;75
57;8.236;75
58;8.320;81
59;8.413;84
60;8.565;91
61;8.652;94
62;8.799;102
63;8.897;104
64;8.961;111
65;9.037;120
66;9.137;126
67;9.241;131
68;9.332;139
69;9.478;144
70;9.583;152
71;9.661;158
72;9.786;162
73;9.887;165
74;9.976;169
75;10.062;174
76;10.156;177
77;10.237;183
78;10.284;186
79;10.331;192
80;10.384;200
81;10.423;204
82;10.450;208
83;10.480;211
84;10.512;214
85;10.537;217
86;10.564;222
87;10.591;225
88;10.613;229
